group,object_name,label,table_column,type,allowed_values,purpose,how_it_works,used_in,confidence,notes
Dati anagrafici,Standardfield7,Telefono,U_AZI_AN.AZI_TELEFO,text,,Telefono,Caricato all'avvio in PUB_TELEFO (APPLILIB.AQUADOCU); condiziona STARTUP_MODIFICHE: `PUB_TELEFO = ''`,APPLILIB.PRG (AQUADOCU);STARTUP_MODIFICHE.PRG;adminlib.PRG (AQUADOCU),MEDIA,Controllo presente in piu tab del form.
Dati anagrafici,Standardfield8,Fax,U_AZI_AN.AZI_FAX,text,,Fax,Caricato all'avvio in PUB_FAX (APPLILIB.AQUADOCU); condiziona STARTUP_MODIFICHE: `PUB_FAX = ''`,APPLILIB.PRG (AQUADOCU);STARTUP_MODIFICHE.PRG;adminlib.PRG (AQUADOCU),MEDIA,Controllo presente in piu tab del form.
Dati anagrafici,Standardfield9,Id società,U_AZI_PA.AZI_IDSOCI,text,,Id società,"Caricato all'avvio in PUB_IDSOCI (APPLILIB.AQUADOCU); condiziona SAY_ESERCIZIO: `V_SFONDO_PERSONALIZZATO = ALLTRIM(PUB_DIR)+""\""+SUBSTR(PUB_CODOPE,1,20)+ALLTRIM(PUB_IDSOCI)+"".JPG""`",APPLILIB.PRG (AQUADOCU);SAY_ESERCIZIO.PRG,MEDIA,
Dati anagrafici,Standardfield18,Numero civico,U_AZI_PB.AZI_NRCIVICO,text,,Numero civico,"Caricato all'avvio in PUB_NRCIVICO_AZI (APPLILIB.AQUADOCU); condiziona STARTUP_MODIFICHE: `PUB_NRCIVICO_AZI = """"`",APPLILIB.PRG (AQUADOCU);STARTUP_MODIFICHE.PRG,ALTA,Controllo presente in piu tab del form.
Dati anagrafici,Standardfield19,Nazione,U_AZI_PB.AZI_PROVINCIA,text,,Nazione,"Caricato all'avvio in PUB_PROVIN (APPLILIB.AQUADOCU); condiziona STAMPA_ALLEGATO_RAPPORTO_CONTROLLO_TREVICALOR.prg: `PUB_PROVIN = """"`",APPLILIB.PRG (AQUADOCU);STAMPA_ALLEGATO_RAPPORTO_CONTROLLO_TREVICALOR.prg,MEDIA,Controllo presente in piu tab del form.
Dati anagrafici,Standardfield20,Nazione,U_AZI_PB.AZI_NAZION,text,,Nazione,"Caricato all'avvio in PUB_NAZION_AZI (APPLILIB.AQUADOCU); condiziona STARTUP_MODIFICHE: `PUB_NAZION_AZI = """"`",APPLILIB.PRG (AQUADOCU);STARTUP_MODIFICHE.PRG,MEDIA,Controllo presente in piu tab del form.
Dati anagrafici,Standardfield22,Email,U_AZI_PB.AZI_EMAIL,text,,Email,"Caricato all'avvio in PUB_EMAIL_AZI (APPLILIB.AQUADOCU); condiziona STARTUP_MODIFICHE: `PUB_EMAIL_AZI = """"`",APPLILIB.PRG (AQUADOCU);STARTUP_MODIFICHE.PRG,MEDIA,Controllo presente in piu tab del form.
Bollati iva > Impostazioni,Check20,Abilita gestione prorata in liquidazione iva,U_AZI_PA.AZI_PRORATA,boolean,,Abilita gestione prorata in liquidazione iva,Caricato all'avvio in PUB_PRORATA (APPLILIB.AQUADOCU); condiziona IVA_LIB.LIQUIDAZIONE_IVA: `IF PUB_PRORATA`,APPLILIB.PRG (AQUADOCU);IVA_LIB.PRG (LIQUIDAZIONE_IVA);LIQUIDA.PRG (CREALIQ);LIQUIDA2.PRG (CREALIQ),ALTA,
Bollati iva > Impostazioni,Check26,Attiva gestione iva per cassa,U_AZI_PA.AZI_IVAXCA,boolean,,Attiva gestione iva per cassa,Caricato all'avvio in PUB_IVAXCA (APPLILIB.AQUADOCU); condiziona STARTUP_MODIFICHE: `PUB_IVAXCA = .F.`,APPLILIB.PRG (AQUADOCU);STARTUP_MODIFICHE.PRG;adminlib.PRG (AQUADOCU),ALTA,
Bollati iva > Impostazioni,Check1,Nuova gestione delle ive indeducibili/deducibili al posto della gestione con codice iva es: 51 inded. 51* deduc.,U_AZI_PB.AZI_IVADEDU,boolean,,Nuova gestione delle ive indeducibili/deducibili al posto della gestione con codice iva es: 51 inded. 51* deduc.,Caricato all'avvio in PUB_IVADEDU (APPLILIB.AQUADOCU); condiziona STARTUP_MODIFICHE: `PUB_IVADEDU = .F.`,APPLILIB.PRG (AQUADOCU);STARTUP_MODIFICHE.PRG;applilib_sergio.prg (AQUADOCU),ALTA,
Bollati iva > Impostazioni,Check2,Attiva gestione acconto iva nella liquidazione e nel riepilogo finale,U_AZI_PB.AZI_ACCOIVA,boolean,,Attiva gestione acconto iva nella liquidazione e nel riepilogo finale,Caricato all'avvio in PUB_ACCOIVA (APPLILIB.AQUADOCU); condiziona STARTUP_MODIFICHE: `PUB_ACCOIVA = .F.`,APPLILIB.PRG (AQUADOCU);STARTUP_MODIFICHE.PRG;schedulerlib.PRG (AQUADOCU),ALTA,
Bollati iva > Impostazioni,Check3,Calcola il plafond iva in base alla data di fattura e non alla data di registrazione,U_AZI_PB.AZI_PLADFA,boolean,,Calcola il plafond iva in base alla data di fattura e non alla data di registrazione,Caricato all'avvio in PUB_PLADFA (APPLILIB.AQUADOCU); condiziona AGGIORNA_PLAFONDF: `IF PUB_PLADFA`,APPLILIB.PRG (AQUADOCU);AGGIORNA_PLAFONDF.PRG;RIATFC.PRG (AGGIORNAMENTO_PLAFOND_IVA_FORNITORI_PROFESSIONISTI),ALTA,Controllo presente in piu tab del form.
Bollati iva > Bollato clienti,Standardfield13,,U_AZI_AN.AZI_NFAGE,text,,,"Letto direttamente dalle tabelle U_AZI_* in IVACASTA.OK_FATAGE: `IF AZI_NFAGE = ""S""`",IVACASTA.PRG (OK_FATAGE);IVACLCEE.PRG (OK_FATAGE);IVACLSTA.PRG (OK_FATAGE),INCERTO,
Bollati iva > Bollato clienti,Standardfield10,,U_AZI_AN.AZI_PROTCL,text,,,Letto direttamente dalle tabelle U_AZI_* in AGENZIA_ENTRATE_BLACKLIST.prg: `OK_PROTCL = AZI_PROTCL`,AGENZIA_ENTRATE_BLACKLIST.prg;BOLLATI.PRG;BOLLATI2.PRG,INCERTO,
Bollati iva > Bollato clienti,Standardfield6,Testata iva clienti,U_AZI_AN.AZI_IVACLI,text,,Testata iva clienti,Nessun uso trovato nei sorgenti correnti (solo replica/backup): possibile parametro orfano o di altra verticale.,,INCERTO,
Bollati iva > Bollato clienti,AZI_ESECLI1,,U_AZI_AN.AZI_ESECLI,text,,,Nessun uso trovato nei sorgenti correnti (solo replica/backup): possibile parametro orfano o di altra verticale.,,INCERTO,
Bollati iva > Bollato clienti,AZI_PAGCLI1,,U_AZI_AN.AZI_PAGCLI,text,,,Nessun uso trovato nei sorgenti correnti (solo replica/backup): possibile parametro orfano o di altra verticale.,,INCERTO,
Bollati iva > Bollato clienti,Check3,Abilita la gestione della stampa del bollato iva fatture in differita,U_AZI_AN.AZI_NFATDIFFERITA,boolean,,Abilita la gestione della stampa del bollato iva fatture in differita,Caricato all'avvio in PUB_NFATDIFFERITA (APPLILIB.AQUADOCU); condiziona BOLLATI.IVAVENDI: `IF PUB_NFATDIFFERITA`,APPLILIB.PRG (AQUADOCU);BOLLATI.PRG (IVAVENDI);BOLLATI.PRG (IVAVENSO);BOLLATI.PRG (CREAZIONE_DETTAGLIO_FATTURA_INCASSATA_U_IVA_CS),ALTA,Controllo presente in piu tab del form.
Bollati iva > Bollato clienti,Standardfield1,,U_AZI_PA.AZI_PROTCI,text,,,Caricato all'avvio in PUB_PROTCI (APPLILIB.AQUADOCU); condiziona STARTUP_MODIFICHE: `PUB_PROTCI = 0`,APPLILIB.PRG (AQUADOCU);STARTUP_MODIFICHE.PRG;adminlib.PRG (AQUADOCU),INCERTO,
Bollati iva > Bollato clienti,Check5,Numerazione protocollo separata tra bollato iva fatture differite ed immediate,U_AZI_PA.AZI_NRSEBC,boolean,,Numerazione protocollo separata tra bollato iva fatture differite ed immediate,Caricato all'avvio in PUB_NRSEBC (APPLILIB.AQUADOCU); condiziona STARTUP_MODIFICHE: `PUB_NRSEBC = .F.`,APPLILIB.PRG (AQUADOCU);STARTUP_MODIFICHE.PRG;adminlib.PRG (AQUADOCU),ALTA,
Bollati iva > Bollato clienti,Check1,Abilita la gestione delle esenzioni su articoli pubblicitari nel bollato iva clienti,U_AZI_AN.AZI_ARTPUB,boolean,,Abilita la gestione delle esenzioni su articoli pubblicitari nel bollato iva clienti,Letto direttamente dalle tabelle U_AZI_* in AGENZIA_ENTRATE_BLACKLIST.prg: `OK_ESECLI = AZI_ARTPUB && ARTICOLO PUBBLICITARIO`,AGENZIA_ENTRATE_BLACKLIST.prg;BOLLATI.PRG;BOLLATI2.PRG,ALTA,
Bollati iva > Bollato clienti,Check2,Abilita la gestione della stampa di un unico bollato iva clienti comprensivo di fatture immediate che in differita,U_AZI_PA.AZI_BOLIVA1,boolean,,Abilita la gestione della stampa di un unico bollato iva clienti comprensivo di fatture immediate che in differita,Caricato all'avvio in PUB_BOLIVA1 (APPLILIB.AQUADOCU); condiziona IVACLSTA.IVATEST: `IF PUB_BOLIVA1`,APPLILIB.PRG (AQUADOCU);IVACLSTA.PRG (IVATEST);IVACLSTA.PRG (IVATES);IVACLSTA.PRG (IVATESTO),ALTA,
Bollati iva > Bollato clienti,Standardfield2,,U_AZI_PA.AZI_PROTSO,text,,,Letto direttamente dalle tabelle U_AZI_* in IVAFATNOELE.OK_PROTO: `REPLACE AZI_PROTSO WITH NUMPRO_DA`,IVAFATNOELE.PRG (OK_PROTO);IVAFATSIELE.PRG (OK_PROTO);ivafatsosinc.PRG (OK_PROTO),INCERTO,
Bollati iva > Bollato fornitori,AZI_PAGFOR1,,U_AZI_AN.AZI_PAGFOR,text,,,Nessun uso trovato nei sorgenti correnti (solo replica/backup): possibile parametro orfano o di altra verticale.,,INCERTO,
Bollati iva > Bollato fornitori,AZI_ESEFOR1,,U_AZI_AN.AZI_ESEFOR,text,,,Nessun uso trovato nei sorgenti correnti (solo replica/backup): possibile parametro orfano o di altra verticale.,,INCERTO,
Bollati iva > Bollato fornitori,Standardfield7,Testata iva fornitori,U_AZI_AN.AZI_IVAFOR,text,,Testata iva fornitori,Nessun uso trovato nei sorgenti correnti (solo replica/backup): possibile parametro orfano o di altra verticale.,,INCERTO,
Bollati iva > Bollato fornitori,Standardfield11,,U_AZI_AN.AZI_PROTFO,text,,,Letto direttamente dalle tabelle U_AZI_* in IVAFOCEE.OK_PROTO: `REPLACE AZI_PROTFO WITH NUMPRO_DA`,IVAFOCEE.PRG (OK_PROTO);IVAFOPERS.PRG (OK_PROTO);IVAFOREVERSE.PRG (OK_PROTO),INCERTO,
Bollati iva > Bollato fornitori,Standardfield2,,U_AZI_AN.AZI_PROTCE,text,,,Nessun uso trovato nei sorgenti correnti (solo replica/backup): possibile parametro orfano o di altra verticale.,,INCERTO,
Bollati iva > Bollato fornitori,Check5,Numerazione protocollo separata tra bollato iva fornitori nazionali e CEE,U_AZI_PA.AZI_NRSEBF,boolean,,Numerazione protocollo separata tra bollato iva fornitori nazionali e CEE,Caricato all'avvio in PUB_NRSEBF (APPLILIB.AQUADOCU); condiziona STARTUP_MODIFICHE: `PUB_NRSEBF = .F.`,APPLILIB.PRG (AQUADOCU);STARTUP_MODIFICHE.PRG;adminlib.PRG (AQUADOCU),ALTA,
Bollati iva > Bollato fornitori,Standardfield1,,U_AZI_PA.AZI_PROTFA,text,,,Caricato all'avvio in PUB_PROTFA (APPLILIB.AQUADOCU); condiziona STARTUP_MODIFICHE: `PUB_PROTFA = 0`,APPLILIB.PRG (AQUADOCU);STARTUP_MODIFICHE.PRG;adminlib.PRG (AQUADOCU),INCERTO,
Bollati iva > Bollato fornitori,Check20,Stampa nel BOLLATO IVA FORNITORI NAZIONALI anche gli acquisti CEE,U_AZI_PA.AZI_CEEUNO,boolean,,Stampa nel BOLLATO IVA FORNITORI NAZIONALI anche gli acquisti CEE,Caricato all'avvio in PUB_CEEUNO (APPLILIB.AQUADOCU); condiziona BOLLATI.IVAACQUI: `IF PUB_CEEUNO && NON GESTISCE I FORNITORI CEE LI STAMPA IN UN UNICO BOLLATO IVA FORNITORI NAZIONALI`,APPLILIB.PRG (AQUADOCU);BOLLATI.PRG (IVAACQUI),ALTA,
Bollati iva > Bollato fornitori,Check1,Numerazione protocollo separata tra bollato iva fornitori nazionali e NOTE OCCASIONALI,U_AZI_PA.AZI_NRSENO,boolean,,Numerazione protocollo separata tra bollato iva fornitori nazionali e NOTE OCCASIONALI,Caricato all'avvio in PUB_NRSENO (APPLILIB.AQUADOCU); condiziona STARTUP_MODIFICHE: `PUB_NRSENO = .F.`,APPLILIB.PRG (AQUADOCU);STARTUP_MODIFICHE.PRG;adminlib.PRG (AQUADOCU),ALTA,
Bollati iva > Bollato fornitori,Standardfield3,,U_AZI_PA.AZI_PROTNO,text,,,Caricato all'avvio in PUB_PROTNO (APPLILIB.AQUADOCU); condiziona STARTUP_MODIFICHE: `PUB_PROTNO = 0`,APPLILIB.PRG (AQUADOCU);STARTUP_MODIFICHE.PRG;adminlib.PRG (AQUADOCU),INCERTO,
Bollati iva > Bollato fornitori,Check2,Abilita l'aggiornamento dei protocolli fornitori in stampa definitiva,U_AZI_PA.AZI_AGGPRO,boolean,,Abilita l'aggiornamento dei protocolli fornitori in stampa definitiva,Caricato all'avvio in PUB_AGGPRO (APPLILIB.AQUADOCU); condiziona IVACASTA: `IF PUB_AGGPRO`,APPLILIB.PRG (AQUADOCU);IVACASTA.PRG;IVACASTA.PRG (IVADET);IVACASTA.PRG (OK_PROTO),ALTA,
Bollati iva > Bollato fornitori,Check3,Gestione di un unico REGISTRO CESSIONI COMPENSATIVE che iclude fornitori CEE/EXTRACEE/REVERSE CHARGE,U_AZI_PA.AZI_CESCOM,boolean,,Gestione di un unico REGISTRO CESSIONI COMPENSATIVE che iclude fornitori CEE/EXTRACEE/REVERSE CHARGE,Caricato all'avvio in PUB_CESCOM (APPLILIB.AQUADOCU); condiziona IVACASTA.IVADET: `IF PUB_CESCOM && REGISTRO IVA CESSIONI COMPENSATIVE ATTIVATO !!!!`,APPLILIB.PRG (AQUADOCU);IVACASTA.PRG (IVADET);IVACLSTA.PRG (IVADET),ALTA,
Bollati iva > Bollato fornitori,Check4,Abilita la stampa del bollato iva note occasionali,U_AZI_PB.AZI_BOLNOC,boolean,,Abilita la stampa del bollato iva note occasionali,Caricato all'avvio in PUB_BOLNOC (APPLILIB.AQUADOCU); condiziona STARTUP_MODIFICHE: `PUB_BOLNOC = .F.`,APPLILIB.PRG (AQUADOCU);STARTUP_MODIFICHE.PRG,ALTA,
Bollati iva > Bollato fornitori,Check6,Numerazione protocollo separata tra bollato iva fornitori nazionali e Reverse Charge,U_AZI_PB.AZI_NRSERC,boolean,,Numerazione protocollo separata tra bollato iva fornitori nazionali e Reverse Charge,Caricato all'avvio in PUB_NRSERC (APPLILIB.AQUADOCU); condiziona IVAFOSTA.IVADET: `IF PUB_NRSERC AND CEE = 'R' && Numerazione protocollo separata tra bollato iva fornitori nazionali e Reverse Charge`,APPLILIB.PRG (AQUADOCU);IVAFOSTA.PRG (IVADET);IVAFOSTA.PRG (IVATOTF);STARTUP_MODIFICHE.PRG,ALTA,
Bollati iva > Bollato fornitori,Check7,Numerazione protocollo separata tra bollato iva fornitori nazionali e Autofatture,U_AZI_PB.AZI_NRSEAU,boolean,,Numerazione protocollo separata tra bollato iva fornitori nazionali e Autofatture,Caricato all'avvio in PUB_NRSEAU (APPLILIB.AQUADOCU); condiziona IVAFOSTA.IVADET: `IF PUB_NRSEAU AND CEE = 'A' && Numerazione protocollo separata tra bollato iva fornitori nazionali e Autofatture`,APPLILIB.PRG (AQUADOCU);IVAFOSTA.PRG (IVADET);contabilelib.PRG (REG_NUMPRO);STARTUP_MODIFICHE.PRG,ALTA,
Bollati iva > Bollato corrispettivi,AZI_PAGCOR1,,U_AZI_AN.AZI_PAGCOR,text,,,Nessun uso trovato nei sorgenti correnti (solo replica/backup): possibile parametro orfano o di altra verticale.,,INCERTO,
Bollati iva > Bollato corrispettivi,AZI_ESECOR1,,U_AZI_AN.AZI_ESECOR,text,,,Nessun uso trovato nei sorgenti correnti (solo replica/backup): possibile parametro orfano o di altra verticale.,,INCERTO,
Bollati iva > Bollato corrispettivi,Standardfield8,Testata iva corrispettivi,U_AZI_AN.AZI_CORRIS,text,,Testata iva corrispettivi,Nessun uso trovato nei sorgenti correnti (solo replica/backup): possibile parametro orfano o di altra verticale.,,INCERTO,
Bollati iva > Bollato corrispettivi,Standardfield15,,U_AZI_AN.AZI_PROTCO,text,,,Letto direttamente dalle tabelle U_AZI_* in IVACOSTA.OK_PROTO: `REPLACE AZI_PROTCO WITH NUMPRO_DA`,IVACOSTA.PRG (OK_PROTO),INCERTO,
Bollati iva > Bollato corrispettivi,Check4,Abilita la stampa del bollato iva corrispettivi clienti,U_AZI_PB.AZI_BOLCOR,boolean,,Abilita la stampa del bollato iva corrispettivi clienti,Caricato all'avvio in PUB_BOLCOR (APPLILIB.AQUADOCU); condiziona STARTUP_MODIFICHE: `PUB_BOLCOR = .F.`,APPLILIB.PRG (AQUADOCU);STARTUP_MODIFICHE.PRG,ALTA,
Bollati iva > Libro giornale,Standardfield9,Testata libro giornale,U_AZI_AN.AZI_LIBGIO,text,,Testata libro giornale,Nessun uso trovato nei sorgenti correnti (solo replica/backup): possibile parametro orfano o di altra verticale.,,INCERTO,
Bollati iva > Libro giornale,AZI_ESELIB1,,U_AZI_AN.AZI_ESELIB,text,,,Nessun uso trovato nei sorgenti correnti (solo replica/backup): possibile parametro orfano o di altra verticale.,,INCERTO,
Bollati iva > Libro giornale,AZI_PAGLIB1,,U_AZI_AN.AZI_PAGLIB,text,,,Nessun uso trovato nei sorgenti correnti (solo replica/backup): possibile parametro orfano o di altra verticale.,,INCERTO,
Bollati iva > Libro giornale,Standardfield12,,U_AZI_AN.AZI_NUMRE,text,,,Nessun uso trovato nei sorgenti correnti (solo replica/backup): possibile parametro orfano o di altra verticale.,,INCERTO,
Menu,Check8,Scritte sullo sfondo bianche,U_AZI_PA.AZI_SCRIT_B,boolean,,Scritte sullo sfondo bianche,Caricato all'avvio in PUB_SCRIT_B (APPLILIB.AQUADOCU); condiziona SAY_ESERCIZIO: `IF PUB_SCRIT_B`,APPLILIB.PRG (AQUADOCU);SAY_ESERCIZIO.PRG;STARTUP_MODIFICHE.PRG,ALTA,
Menu,Check1,Scritte sullo sfondo nere,U_AZI_PA.AZI_SCRIT_N,boolean,,Scritte sullo sfondo nere,Caricato all'avvio in PUB_SCRIT_N (APPLILIB.AQUADOCU); condiziona SAY_ESERCIZIO: `IF PUB_SCRIT_N`,APPLILIB.PRG (AQUADOCU);SAY_ESERCIZIO.PRG;STARTUP_MODIFICHE.PRG,ALTA,
Menu,Check2,Scritte sullo sfondo rosse,U_AZI_PA.AZI_SCRIT_R,boolean,,Scritte sullo sfondo rosse,Caricato all'avvio in PUB_SCRIT_R (APPLILIB.AQUADOCU); condiziona SAY_ESERCIZIO: `IF PUB_SCRIT_R`,APPLILIB.PRG (AQUADOCU);SAY_ESERCIZIO.PRG;STARTUP_MODIFICHE.PRG,ALTA,
Menu,Standardfield2,Sfondo desktop,U_AZI_PA.AZI_DESKTOP,text,,Sfondo desktop,Caricato all'avvio in PUB_DESKTOP (APPLILIB.AQUADOCU); condiziona SAY_ESERCIZIO: `_PATH_SFONDO_AQUARIUS = PUB_DINDIR+PUB_DESKTOP`,APPLILIB.PRG (AQUADOCU);SAY_ESERCIZIO.PRG;STARTUP.PRG,ALTA,
Menu,Standardfield1,Sfondo pass,U_AZI_PA.AZI_PASS,text,,Sfondo pass,Caricato all'avvio in PUB_PASS (APPLILIB.AQUADOCU); condiziona STARTUP_MODIFICHE: `PUB_PASS = ''`,APPLILIB.PRG (AQUADOCU);STARTUP_MODIFICHE.PRG,MEDIA,
Menu,Standardfield3,Sfondo pass switch,U_AZI_PA.AZI_PASS_SW,text,,Sfondo pass switch,Caricato all'avvio in PUB_PASS_SW (APPLILIB.AQUADOCU); condiziona STARTUP_MODIFICHE: `PUB_PASS_SW = ''`,APPLILIB.PRG (AQUADOCU);STARTUP_MODIFICHE.PRG,ALTA,
Menu,Check3,Mostra la scritta aquarius sullo sfondo,U_AZI_PA.AZI_AQUAR,boolean,,Mostra la scritta aquarius sullo sfondo,Caricato all'avvio in PUB_AQUAR (APPLILIB.AQUADOCU); condiziona SAY_ESERCIZIO: `IF PUB_AQUAR`,APPLILIB.PRG (AQUADOCU);SAY_ESERCIZIO.PRG;STARTUP.PRG;STARTUP_AVANZA_PDM.PRG,ALTA,
Menu,Check4,Scritte nel pass/pass_switch bianche,U_AZI_PA.AZI_PASS_B,boolean,,Scritte nel pass/pass_switch bianche,Caricato all'avvio in PUB_PASS_B (APPLILIB.AQUADOCU); condiziona STARTUP_MODIFICHE: `PUB_PASS_B = .F.`,APPLILIB.PRG (AQUADOCU);STARTUP_MODIFICHE.PRG,ALTA,
Menu,Check5,Scritte nel pass/pass_switch nere,U_AZI_PA.AZI_PASS_N,boolean,,Scritte nel pass/pass_switch nere,Caricato all'avvio in PUB_PASS_N (APPLILIB.AQUADOCU); condiziona STARTUP_MODIFICHE: `PUB_PASS_N = .F.`,APPLILIB.PRG (AQUADOCU);STARTUP_MODIFICHE.PRG,ALTA,
Menu,Check6,Scritte nel pass/pass_switch rosse,U_AZI_PA.AZI_PASS_R,boolean,,Scritte nel pass/pass_switch rosse,Caricato all'avvio in PUB_PASS_R (APPLILIB.AQUADOCU); condiziona STARTUP_MODIFICHE: `PUB_PASS_R = .F.`,APPLILIB.PRG (AQUADOCU);STARTUP_MODIFICHE.PRG,ALTA,
Menu,Standardfield4,Sfondo submenu,U_AZI_PA.AZI_SUBMEN,text,,Sfondo submenu,Caricato all'avvio in PUB_SUBMEN (APPLILIB.AQUADOCU); condiziona STARTUP_MODIFICHE: `PUB_SUBMEN = ''`,APPLILIB.PRG (AQUADOCU);STARTUP_MODIFICHE.PRG,ALTA,
Menu,Check7,Visualizza la Link Toolbar per il richiamo agli applicativi Office,U_AZI_PA.AZI_ZTLSHW,boolean,,Visualizza la Link Toolbar per il richiamo agli applicativi Office,Caricato all'avvio in PUB_ZTLSHW (APPLILIB.AQUADOCU); condiziona STARTUP: `IF PUB_ZTLSHW`,APPLILIB.PRG (AQUADOCU);STARTUP.PRG;STARTUP_MODIFICHE.PRG;adminlib.PRG (AQUADOCU),ALTA,
Menu,Check9,Gestione sfondi per collegamenti remoti,U_AZI_PA.AZI_REMOTE,boolean,,Gestione sfondi per collegamenti remoti,Caricato all'avvio in PUB_REMOTE (APPLILIB.AQUADOCU); condiziona applilib_sergio.prg.MESSAGGIO_STILE_WIN8: `IF !PUB_REMOTE`,APPLILIB.PRG (AQUADOCU);applilib_sergio.prg (MESSAGGIO_STILE_WIN8);STARTUP_MODIFICHE.PRG;adminlib.PRG (AQUADOCU),ALTA,
Menu,Standardfield5,Scritta aquarius,U_AZI_PA.AZI_SCRIT,text,,Scritta aquarius,Caricato all'avvio in PUB_SCRIT (APPLILIB.AQUADOCU); condiziona STARTUP_MODIFICHE: `PUB_SCRIT = ''`,APPLILIB.PRG (AQUADOCU);STARTUP_MODIFICHE.PRG,ALTA,
Menu,Check10,Non utilizza WINMAIN ma gestisce il MENU principale su TBL_MENU,U_AZI_PB.AZI_NOWINM,boolean,,Non utilizza WINMAIN ma gestisce il MENU principale su TBL_MENU,Caricato all'avvio in PUB_NOWINM (APPLILIB.AQUADOCU); condiziona STARTUP: `IF PUB_NOWINM`,APPLILIB.PRG (AQUADOCU);STARTUP.PRG;SWITCH_STARTUP.PRG;STARTUP_MODIFICHE.PRG,ALTA,
